"Time (s)","Illuminance (lx)"
1.763901079E0,4.111000000E3
1.783829057E0,4.091000000E3
1.803787554E0,4.099000000E3
1.823776567E0,4.100000000E3
1.843735063E0,4.109000000E3
1.863663042E0,4.114000000E3
1.883621538E0,4.132000000E3
1.903610552E0,4.114000000E3
1.923569048E0,4.107000000E3
1.943497026E0,4.114000000E3
1.963425005E0,4.107000000E3
1.983444536E0,4.112000000E3
2.023331011E0,4.126000000E3
2.043320024E0,4.112000000E3
2.063309038E0,4.114000000E3
2.083267534E0,4.111000000E3
2.103195513E0,4.120000000E3
2.143143022E0,4.134000000E3
2.163101518E0,4.120000000E3
2.203018511E0,4.130000000E3
2.242966020E0,4.129000000E3
2.262955034E0,4.132000000E3
2.282883013E0,4.136000000E3
2.302872026E0,4.122000000E3
2.322861040E0,4.133000000E3
2.342819536E0,4.124000000E3
2.382706011E0,4.122000000E3
2.402695024E0,4.133000000E3
2.422653520E0,4.122000000E3
2.442581499E0,4.129000000E3
2.462570513E0,4.139000000E3
2.482559526E0,4.130000000E3
2.502518022E0,4.129000000E3
2.522446001E0,4.132000000E3
2.542404497E0,4.146000000E3
2.562393511E0,4.132000000E3
2.582352007E0,4.146000000E3
2.602310503E0,4.136000000E3
2.622299516E0,4.126000000E3
2.642258013E0,4.124000000E3
2.662216509E0,4.126000000E3
2.682113970E0,4.112000000E3
2.722030962E0,4.126000000E3
2.741958940E0,4.112000000E3
2.761947954E0,4.122000000E3
2.781906450E0,4.132000000E3
2.801864946E0,4.142000000E3
2.821823442E0,4.141000000E3
2.841781938E0,4.145000000E3
2.861770952E0,4.131000000E3
2.901687944E0,4.133000000E3
2.921615923E0,4.136000000E3
2.941604936E0,4.122000000E3
2.961593950E0,4.116000000E3
2.981521929E0,4.130000000E3
3.001480425E0,4.126000000E3
3.021469438E0,4.140000000E3
3.061386431E0,4.148000000E3
3.081314409E0,4.135000000E3
3.101333940E0,4.139000000E3
3.121292436E0,4.135000000E3
3.141250932E0,4.131000000E3
3.161178911E0,4.133000000E3
3.201126421E0,4.122000000E3
3.221054399E0,4.116000000E3
3.241012895E0,4.126000000E3
3.260971391E0,4.118000000E3
3.280929888E0,4.133000000E3
3.300918901E0,4.136000000E3
3.320846880E0,4.145000000E3
3.340835893E0,4.131000000E3
3.360794390E0,4.145000000E3
3.380722368E0,4.141000000E3
3.400650347E0,4.137000000E3
3.420639360E0,4.139000000E3
3.440597856E0,4.130000000E3
3.500503862E0,4.144000000E3
3.520462358E0,4.130000000E3
3.540420854E0,4.139000000E3
3.560348833E0,4.130000000E3
3.580337847E0,4.139000000E3
3.620254839E0,4.149000000E3
3.640182817E0,4.129000000E3
3.680099809E0,4.130000000E3
3.700058306E0,4.121000000E3
3.720016802E0,4.130000000E3
3.759964311E0,4.149000000E3
3.779922807E0,4.130000000E3
3.799850786E0,4.139000000E3
3.819839800E0,4.130000000E3
3.839798296E0,4.139000000E3
3.879654253E0,4.149000000E3
3.899643266E0,4.144000000E3
3.919601763E0,4.139000000E3
3.959488237E0,4.130000000E3
3.979477251E0,4.139000000E3
3.999435747E0,4.144000000E3
4.019424761E0,4.158000000E3
4.039352739E0,4.144000000E3
4.059341753E0,4.139000000E3
4.079269731E0,4.130000000E3
4.099228227E0,4.139000000E3
4.139175737E0,4.144000000E3
4.179123247E0,4.139000000E3
4.219009722E0,4.130000000E3
4.238968218E0,4.139000000E3
4.258926714E0,4.142000000E3
4.278854692E0,4.145000000E3
4.298843706E0,4.133000000E3
4.338730181E0,4.124000000E3
4.358658159E0,4.133000000E3
4.438461626E0,4.139000000E3
4.478409136E0,4.130000000E3
4.498367632E0,4.139000000E3
4.518295610E0,4.142000000E3
4.538284624E0,4.155000000E3
4.558243120E0,4.142000000E3
4.578201616E0,4.133000000E3
4.598129595E0,4.135000000E3
4.618118608E0,4.143000000E3
4.658005083E0,4.147000000E3
4.697952593E0,4.137000000E3
4.717911089E0,4.145000000E3
4.757797563E0,4.143000000E3
4.777786577E0,4.133000000E3
4.797745073E0,4.147000000E3
4.817673052E0,4.133000000E3
4.857620561E0,4.143000000E3
4.877579057E0,4.135000000E3
4.917496050E0,4.126000000E3
4.937485063E0,4.141000000E3
4.997330034E0,4.127000000E3
5.017319048E0,4.124000000E3
5.037277544E0,4.120000000E3
5.057236040E0,4.124000000E3
5.077164018E0,4.122000000E3
5.117111528E0,4.112000000E3
5.137070024E0,4.106000000E3
5.156998003E0,4.101000000E3
5.176987016E0,4.091000000E3
5.196945513E0,4.089000000E3
5.216904009E0,4.081000000E3
5.236862505E0,4.080000000E3
5.256851518E0,4.071000000E3
5.296768511E0,4.069000000E3
5.316696489E0,4.071000000E3
5.336654985E0,4.076000000E3
5.356643999E0,4.077000000E3
5.376602495E0,4.080000000E3
5.396530474E0,4.087000000E3
5.416519487E0,4.089000000E3
5.436477983E0,4.082000000E3
5.456466997E0,4.089000000E3
5.476394975E0,4.087000000E3
5.496383989E0,4.089000000E3
5.516373003E0,4.082000000E3
5.536300981E0,4.090000000E3
5.556259477E0,4.082000000E3
5.576248491E0,4.091000000E3
5.596206987E0,4.090000000E3
5.616165483E0,4.096000000E3
5.636093462E0,4.116000000E3
5.656082475E0,4.124000000E3
5.676040972E0,4.126000000E3
5.695987359E0,4.115000000E3
5.715976373E0,4.132000000E3
5.735904351E0,4.115000000E3
