"Time (s)","Illuminance (lx)"
6.164960907E0,3.800000000E3
6.184858368E0,3.786000000E3
6.204847382E0,3.799000000E3
6.224805878E0,3.791000000E3
6.244825409E0,3.793000000E3
6.264722870E0,3.786000000E3
6.284711884E0,3.801000000E3
6.304670380E0,3.787000000E3
6.344587372E0,3.800000000E3
6.364576386E0,3.793000000E3
6.384565400E0,3.787000000E3
6.404615448E0,3.786000000E3
6.424543427E0,3.807000000E3
6.444501923E0,3.786000000E3
6.464460419E0,3.799000000E3
6.484510468E0,3.791000000E3
6.504407929E0,3.793000000E3
6.524366425E0,3.786000000E3
6.544355439E0,3.807000000E3
6.564405487E0,3.793000000E3
6.604261445E0,3.805000000E3
6.624219941E0,3.799000000E3
6.644239472E0,3.793000000E3
6.664167450E0,3.786000000E3
6.684125946E0,3.807000000E3
6.704084443E0,3.786000000E3
6.724134491E0,3.799000000E3
6.744031952E0,3.791000000E3
6.764020966E0,3.793000000E3
6.783979462E0,3.786000000E3
6.803998993E0,3.800000000E3
6.823926972E0,3.786000000E3
6.863904999E0,3.799000000E3
6.883955048E0,3.793000000E3
6.903852509E0,3.786000000E3
6.943830536E0,3.800000000E3
6.963880585E0,3.786000000E3
6.983808564E0,3.799000000E3
7.003797577E0,3.797000000E3
7.023786591E0,3.799000000E3
7.043806122E0,3.803000000E3
7.063703583E0,3.807000000E3
7.083662079E0,3.803000000E3
7.123670624E0,3.805000000E3
7.163587616E0,3.803000000E3
7.203626679E0,3.807000000E3
7.223524140E0,3.793000000E3
7.243513154E0,3.811000000E3
7.263502167E0,3.805000000E3
7.283552216E0,3.811000000E3
7.303449677E0,3.805000000E3
7.323408173E0,3.813000000E3
7.343397187E0,3.805000000E3
7.383375214E0,3.817000000E3
7.403333710E0,3.811000000E3
7.423292206E0,3.805000000E3
7.443342255E0,3.800000000E3
7.463270234E0,3.813000000E3
7.483259247E0,3.805000000E3
7.503217743E0,3.811000000E3
7.523237275E0,3.805000000E3
7.563093232E0,3.799000000E3
7.583082245E0,3.807000000E3
7.603132294E0,3.793000000E3
7.643018769E0,3.805000000E3
7.683057831E0,3.793000000E3
7.722944306E0,3.807000000E3
7.742933320E0,3.793000000E3
7.762983368E0,3.813000000E3
7.782911347E0,3.793000000E3
7.802869843E0,3.800000000E3
7.822858857E0,3.788000000E3
7.842878388E0,3.802000000E3
7.862775849E0,3.788000000E3
7.902692841E0,3.800000000E3
7.922742890E0,3.786000000E3
7.982587861E0,3.800000000E3
8.002607392E0,3.786000000E3
8.022504853E0,3.807000000E3
8.042463349E0,3.799000000E3
8.062452362E0,3.807000000E3
8.102399872E0,3.819000000E3
8.122388886E0,3.811000000E3
8.142377900E0,3.812000000E3
8.162427948E0,3.820000000E3
